seed,total-variance,feature1-xor_xor_xor
1,6.69379902,0.41829318
1,6.75545549,0.41923431
1,6.81437588,0.42013443
1,6.87161350,0.42099256
1,6.92669725,0.42181253
1,6.98064613,0.42259512
1,7.03167343,0.42335021
1,7.08154583,0.42407543
1,7.13047171,0.42476638
1,7.17757320,0.42543427
1,7.22353220,0.42607486
1,7.26840401,0.42669414
1,7.31200886,0.42729449
1,7.35429096,0.42787424
1,7.39563179,0.42843409
1,7.43568516,0.42897795
1,7.47515106,0.42950119
1,7.51372051,0.43000843
1,7.55112410,0.43049902
1,7.58775234,0.43097408
1,7.62352085,0.43143401
1,7.65837955,0.43188368
1,7.69242573,0.43232079
1,7.72573948,0.43274498
1,7.75856686,0.43315634
1,7.79055882,0.43355865
1,7.82202435,0.43395074
1,7.85295773,0.43433366
1,7.88334513,0.43470701
1,7.91304350,0.43507290
1,7.94233179,0.43543047
1,7.97120571,0.43578110
1,7.99949551,0.43612410
1,8.02732086,0.43645998
1,8.05467224,0.43678835
1,8.08174706,0.43710866
1,8.10807133,0.43742295
1,8.13408279,0.43773110
1,8.15975380,0.43803239
1,8.18481827,0.43832713
1,8.20974636,0.43861447
1,8.23404312,0.43889771
1,8.25826454,0.43917489
1,8.28184319,0.43944873
1,8.30528736,0.43971684
1,8.32841301,0.43998144
1,8.35094452,0.44024206
1,8.37335968,0.44049783
1,8.39549541,0.44074927
1,8.41711903,0.44099810
1,8.43857765,0.44124324
1,8.45991898,0.44148233
1,8.48075485,0.44171842
1,8.50125980,0.44195088
1,8.52171421,0.44217916
1,8.54178810,0.44240484
1,8.56152916,0.44262753
1,8.58122730,0.44284622
1,8.60058689,0.44306216
1,8.61963654,0.44327565
1,8.63858700,0.44348579
1,8.65724373,0.44369260
1,8.67574978,0.44389631
1,8.69400501,0.44409787
1,8.71213627,0.44429671
1,8.73006344,0.44449271
